,Links,job description
151,https://www.naukri.com/job-listings-Manager-Business-Development-Network-BasicFirst-Bengaluru-Hyderabad-Kolkata-Lucknow-Mumbai-Pune-Bhilai-Bhillai-Durgapur-3-to-8-years-050318901770?src=jobsearchDesk&sid=15208652352219&xp=2&px=1,"['business development management', 'sales', 'marketing', 'lead generation', 'revenue generation', 'promotions', 'new business', 'retail', 'customer service', 'business development', 'BD']"
152,https://www.naukri.com/job-listings-Business-Development-Manager-Modi-Infosol-Pvt-Ltd-Pune-3-to-7-years-120318006306?src=jobsearchDesk&sid=15208652352219&xp=3&px=1,"['sales', 'bdm', 'business development manager', 'business development executive', 'sales manager', 'channel sales', 'it hardware sales']"
153,https://www.naukri.com/job-listings-Asst-Manager-Corporate-Business-Development-Franchise-India-Limited-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-1-to-6-years-120617003875?src=jobsearchDesk&sid=15208652352219&xp=4&px=1,"['Corporate Business Development', 'Marketing', 'Sales Strategy', 'Franchising', 'Advertising', 'Franchise', 'Events', 'Competitive Analysis', 'Profitability', 'Avp']"
154,https://www.naukri.com/job-listings-Business-Development-Executive-manager-solar-Projects-pune-sholapur-Perfect-Placement-Consultancy-Pune-Solapur-1-to-6-years-120917000188?src=jobsearchDesk&sid=15208652352219&xp=5&px=1,"['Power Projects', 'Marketing Executive', 'Sales Executive', 'Business Development Executive', 'Business Development Manager']"
155,https://www.naukri.com/job-listings-Assistant-Manager-Business-Development-Franchise-India-Brands-Ltd-Mumbai-Delhi-NCR-Pune-0-to-5-years-070318000913?src=jobsearchDesk&sid=15208652352219&xp=6&px=1,"['Channel Sales', 'Franchisee Development', 'sales', 'Business Development', 'Bdm', 'Corporate Sales', 'key account manager', 'major account manager']"
156,https://www.naukri.com/job-listings-Business-Development-Manager-Part-time-REICH-PRINZ-Rapid-Solutions-Private-Limited-Pune-Kharadi-3-to-8-years-110318001156?src=jobsearchDesk&sid=15208652352219&xp=7&px=1,"['Business Development Management', 'Startup']"
157,https://www.naukri.com/job-listings-Required-Business-Development-Manager-Agency-Channel-pune-Bajaj-Allianz-Life-Insurance-Co-Ltd-Pune-4-to-9-years-050318003262?src=jobsearchDesk&sid=15208652352219&xp=8&px=1,"['agency sales', 'business development management', 'new business', 'life insurance', 'business generation', 'team building']"
158,https://www.naukri.com/job-listings-Sales-Officer-Area-Sales-Manager-Business-Development-Manager-RAKSHA-PIPES-PVT-LTD-Pune-Nagpur-Ahmednagar-1-to-6-years-100318004739?src=jobsearchDesk&sid=15208652352219&xp=9&px=1,"['Retail Sales', 'Marketing', 'Business Development Management', 'Area Sales Management', 'Channel Sales', 'Regional Sales', 'Sales Executive Activities', 'FMCG', 'Sanitary Ware', 'Regional Management']"
159,https://www.naukri.com/job-listings-Business-Development-Executive-Manager-SamvadSocial-Technologies-Pvt-Ltd-Pune-3-to-8-years-070318901959?src=jobsearchDesk&sid=15208652352219&xp=10&px=1,"['Marketing Campaigns', 'Sales', 'Business Development', 'Brand Promotion', 'Promotions', 'Market Research', 'Events', 'New Business', 'Selling', 'Public Relations', 'Direct sales', 'Horeca sales', 'corporate sales']"
160,https://www.naukri.com/job-listings-Urgent-Requirement-for-Portfolio-Business-Manager-Home-Loan-Product-AU-SMALL-FINANCE-BANK-Limited-Mumbai-Pune-Ahmednagar-Aurangabad-Nasik-Nagpur-Kolhapur-6-to-8-years-090318002879?src=jobsearchDesk&sid=15208652352219&xp=11&px=1,"['Sales Process', 'Customer Acquisition', 'Customer Service', 'New Business', 'Sales Management', 'Target Achievement', 'Home Loans', 'Business Management', 'Team Motivation', 'Real Estate']"
161,https://www.naukri.com/job-listings-Assistant-Manager-Business-Development-Mumbai-Sparrow-Risk-Management-Pvt-Ltd-Mumbai-Mumbai-Suburbs-Navi-Mumbai-Pune-2-to-3-years-100318003232?src=jobsearchDesk&sid=15208652352219&xp=12&px=1,"['Business Development Management', 'Sales', 'Lead Generation', 'Client Meeting', 'Follow Ups', 'Business Development', 'Corporate Sales', 'Industrial Sales', 'industrial marketing', 'B2B Sales', 'b2b marketing']"
162,https://www.naukri.com/job-listings-Business-Development-Manager-Priyadarshini-Air-Wings-Pvt-Ltd-Pune-Delhi-NCR-Chennai-2-to-5-years-300817001745?src=jobsearchDesk&sid=15208652352219&xp=13&px=1,"['Sales Executive Activities', 'Marketing', 'Business Development Management', 'Selling', 'Promotions', 'Travel', 'sales executive', 'corporate sales', 'bdm', 'Business Development', 'business development manager', 'sales manager', 'marketing manager']"
163,https://www.naukri.com/job-listings-Business-Development-Manager-HTL-Aircon-Private-Limited-Pune-Ghorpadi-3-to-8-years-100318004450?src=jobsearchDesk&sid=15208652352219&xp=14&px=1,"['Sales', 'Business Dev']"
164,https://www.naukri.com/job-listings-Business-Development-Executive-deputy-Manager-Sales-1-5-Years-Ace-Brain-Technologies-Private-Limited-Pune-1-to-5-years-100318004173?src=jobsearchDesk&sid=15208652352219&xp=15&px=1,"['social media', 'business development executive', 'business development manager', 'marketing manager', 'marketing head', 'Social Media Marketing', 'International Marketing', 'international sales', 'international business development']"
165,https://www.naukri.com/job-listings-Institutional-Business-Manager-Tender-Business-Hospital-pharma-Pune-9-to-14-years-090318900199?src=jobsearchDesk&sid=15208652352219&xp=16&px=1,"['Business Management', 'Sales']"
166,https://www.naukri.com/job-listings-Business-Development-Manager-Pune-Talent-Corner-HR-Services-Pvt-Ltd-Pune-1-to-5-years-250118004109?src=jobsearchDesk&sid=15208652352219&xp=17&px=1,"['Service Sales', 'Digital Marketing', 'Business Development Management', 'Bdm', 'Bd', 'Client Relationship', 'Target Achievement', 'Sales']"
167,https://www.naukri.com/job-listings-Business-Development-Manager-Arcatron-Mobility-Pvt-Ltd-Pune-Pimpri-2-1-to-6-years-080318004049?src=jobsearchDesk&sid=15208652352219&xp=18&px=1,"['Outbound Sales', 'Business Development Management', 'Customer Experience', 'Medical Devices', 'Pharmaceutical Sales', 'pharma sales', 'pharma marketing', 'territory business manager', 'territory sales manager']"
168,https://www.naukri.com/job-listings-Business-Development-Executive-Business-Development-Managers-Infinity-Data-Technologies-Pvt-Ltd-Pune-0-to-5-years-060318008461?src=jobsearchDesk&sid=15208652352219&xp=19&px=1,"['b2b sales', 'b2b marketing', 'fixing appointments', 'lead generation', 'demand generation', 'cold calling', 'inside sales', 'international marketing', 'international business', 'us sales']"
169,https://www.naukri.com/job-listings-Business-Development-Manager-Jay-Jalaram-Bricks-Works-Pune-Ahmedabad-Ludhiana-2-to-7-years-060318006295?src=jobsearchDesk&sid=15208652352219&xp=20&px=1,"['Business Development Management', 'Marketing', 'branding', 'sales and Marketing', 'corporate sales', 'Business Networking', 'Business Development', 'bdm', 'Sales']"
170,https://www.naukri.com/job-listings-Manager-Business-Development-iREC-Solutions-Chennai-Pune-Delhi-1-to-3-years-050318000740?src=jobsearchDesk&sid=15208652352219&xp=21&px=1,"['Business Development Management', 'B2B Sales', 'Corporate Sales', 'Bhm', 'Cold Calling', 'Client Acquisition', 'Account Management', 'Startup', 'Event Management', 'Fixing Appointments']"
171,https://www.naukri.com/job-listings-Business-Operations-Manager-Screen-Magic-Startup-Pune-7-to-8-years-060318901715?src=jobsearchDesk&sid=15208652352219&xp=22&px=1,"['Customer Service', 'Data Analytics', 'Customer Operations', 'Product Support', 'Team Management', 'Data Analysis', 'Business Operations', 'Customer Support', 'Customer Acquisition', 'Business Planning']"
172,https://www.naukri.com/job-listings-Manager-Senior-Manager-Corporate-Business-Development-Franchise-India-Limited-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-3-to-8-years-120617003744?src=jobsearchDesk&sid=15208652352219&xp=23&px=1,"['Corporate Business Development', 'Marketing', 'Sales Strategy', 'Franchising', 'Advertising', 'Franchise', 'Events', 'Competitive Analysis', 'Profitability', 'Avp']"
173,https://www.naukri.com/job-listings-Key-Account-Manager-Technology-Sales-Business-Development-Pune-6-to-11-years-010318900493?src=jobsearchDesk&sid=15208652352219&xp=24&px=1,"['Key Account Manager', 'Technology Sales', 'Business Development', 'Sales', 'Key account management']"
174,https://www.naukri.com/job-listings-Manager-Business-Development-Cardio-cardiovascular-Segment-Pune-12-to-18-years-070318900415?src=jobsearchDesk&sid=15208652352219&xp=25&px=1,"['Manager - Business Development', 'Business Development', 'New Product Development', 'sales', 'Market analysis']"
175,https://www.naukri.com/job-listings-Business-Development-associate-Account-Manager-Collabera-Technologies-Private-Limited-Chennai-Pune-0-to-4-years-230218000601?src=jobsearchDesk&sid=15208652352219&xp=26&px=1,"['Account Management', 'Sales Support', 'Vendor Management', 'Client Management', 'Delivery Management', 'Business Strategy', 'Relationship Building', 'Customer Satisfaction', 'Employee Satisfaction', 'Presentation Skills']"
176,https://www.naukri.com/job-listings-Business-Development-Manager-Based-at-Pune-Evershine-Resource-Management-Private-Limited-Pune-3-to-8-years-070318003846?src=jobsearchDesk&sid=15208652352219&xp=27&px=1,"['business development management', 'new business', 'export import', 'business generation', 'air freight']"
177,https://www.naukri.com/job-listings-Business-Development-Manager-SAP-Business-One-Crave-Infotech-Consultancy-Services-Pvt-Ltd-Pune-4-to-9-years-310118007383?src=jobsearchDesk&sid=15208652352219&xp=28&px=1,"['b2b', 'sap business one', 'Business Development', 'BDM', 'Business Development Manager', 'lead generation', 'IT Sales', 'ERP sales', 'SAP sales', 'Solutions sales', 'cold calling', 'RFP', 'RFI']"
178,https://www.naukri.com/job-listings-Business-Development-Manager-Payments-System-Manipal-Group-Pune-10-to-14-years-070318901638?src=jobsearchDesk&sid=15208652352219&xp=29&px=1,"['Business Development Manager', 'Post sales', 'E - governance', 'financial institutions', 'Policies', 'Sales development', 'Business plan development', 'Market', 'Quality standards', 'Business enhancement']"
