,Unnamed: 0,City,Job title,Company name,Location,Salary,Links,business skills
45,46,Toronto,Program Manager Service Operational Support,City of Toronto,"Toronto, ON","$94,411 - $110,926 a year",http://www.indeed.ca/rc/clk?jk=269ef1fdc3fa9ce9&fccid=f2087b51205d4920&vjs=3,delivery relationship social_media communication_skills forecasting ca customer_service strategic_planning service_delivery written_communication area_management continuous_improvement policies medical public_relations dealing excel presentation hiring cluster relationship_management operations
46,47,Toronto,"Project Manager, Design & Delivery",Bell,"Don Mills, ON",no salary info,http://www.indeed.ca/rc/clk?jk=e6e3e97cb43ef021&fccid=6d9b8e75dfffb17e&vjs=3,data_collection customer_experience project_management presentation_skills senior_management excel presentation risk_management analytics analytical sas
47,48,Toronto,Business Manager,Infoware Canada Inc.,"Toronto, ON","$45,000 - $55,000 a year",http://www.indeed.ca/company/Infoware-Canada-Inc./jobs/Business-Manager-1d2499f1441f744f?fccid=7bfc8121405ecfee&vjs=3,strategy business_manager marketing time_management growth_strategy analytical_skills business_operations customer_service management_skills now excel analytical software_solutions operations
48,49,Toronto,Business Manager,Tip Top Trough,"Toronto, ON","$35,000 - $45,000 a year",http://www.indeed.ca/company/Tip-Top-Trough/jobs/Business-Manager-ab8eea1da05f5487?fccid=896bc30a0520371e&vjs=3,marketing social_media customer_service marketing_initiatives construction social_media_marketing customer_communication media_marketing
49,50,Toronto,Business System Manager,ENERGI Fenestration Solutions,"Woodbridge, ON",no salary info,http://www.indeed.ca/company/ENERGI-Fenestration-Solutions/jobs/Business-System-Manager-9e716dacf8c7cdcf?fccid=1ed992ed4ff09565&vjs=3,profitability use_cases delivery primary analytical_skills system_integration project_management customer_satisfaction management_skills accounting continuous_improvement now vendor_management business_analysis analytical software_solutions business_intelligence technology_solutions user_experience
50,51,Toronto,Jr. Account Manager,Relief Pharmacists Inc.,"Toronto, ON","$70,000 - $90,000 a year",http://www.indeed.ca/company/Relief-Consultant-Inc./jobs/Junior-Account-Manager-a7f9f78cfb0fb89d?fccid=dd044af20bd148e1&vjs=3,lead_generation cold_calling healthcare relationship sales communication_skills client_acquisition share account_manager prospecting account_management business_development relationship_building retention
51,52,Toronto,"eCommerce Manager, Deliver To Home, Finance",Canadian Tire Corporation,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=f36533f211f11d06&fccid=2e16043297423070&vjs=3,dealer retail time_management delivery relationship sales project_management finance management_skills accounting interpersonal_skills relationship_building process_improvement analytical linkedin sme operations recruitment
52,53,Toronto,"Manager, Business Administration",Seneca College of Applied Arts and Technology,"North York, ON",no salary info,http://www.indeed.ca/rc/clk?jk=174c91bf2fc784dc&fccid=760d328f33860375&vjs=3,corporate_marketing strategy marketing delivery promotions relationship social_media consulting business_operations customer_service share college events continuous_improvement public_relations interpersonal_skills relationship_building analytical retention hiring data_analysis operations
53,54,Toronto,Office Manager/Administrator,Gasmet Technologies Inc.,"Etobicoke, ON",no salary info,http://www.indeed.ca/company/Gasmet-Technologies-Inc./jobs/Office-Manager-Administrator-e42ba1d301e8fb7e?fccid=1ef667a7ebf36e27&vjs=3,marketing bank sales accounting excel operations hotel
54,55,Toronto,Finance Manager - Corporate Reporting,ENERCARE,"Markham, ON",no salary info,http://www.indeed.ca/rc/clk?jk=09693099e2e1cdbb&fccid=f393085c1182b994&vjs=3,compliance analytical_skills financial_reporting finance ms_office accounting policies excel finance_manager analytical operations recruitment
55,56,Toronto,Client Manager,Xerox Authorized Sales Agent,"Etobicoke, ON","$30,000 a year",http://www.indeed.ca/rc/clk?jk=abf3ff790cd84a71&fccid=fd6a32f24dd4ee0d&vjs=3,strategy retail market inside_sales relationship sales communication_skills b2b it_services selling customer_satisfaction share college account_management ms_office policies client_retention retail_sales excel sales_management sales_training retention technology_solutions hospitality advisor verbal_communication
56,57,Toronto,Office Manager,Little Tots' Manor Inc,"Toronto, ON",no salary info,http://www.indeed.ca/company/Little-Tots'-Manor-Inc/jobs/Office-Manager-15b0118976f1e1a0?fccid=70740caf73f6761d&vjs=3,communication_skills college excel operations
